,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
70,  ,          ,Core i3       ,     ,             , , 1115G4    ,    2.0 3.0                ,  4 مگابایت                       ,   12 گیگابایت                                     ,              ,        512 گیگابایت         ,       1 ترابایت                        , Nvidia                  ,  GeForce MX450   , 4GB GDDR6                                  , , ندارد    ,         , , 45Whr               , 15.6 اینچ          ,  ,  ,   ,            ,   ,17.600.000
71,  ,          ,Corei5       ,     ,             , , 1235U    ,10                     ,  12MB                       ,   8GB                                     ,              ,1TB SSD                ,      PCIe NVMe                         , NVIDIA                  ,  Geforce MX550   ,            2GB                       ,دارد ,     ,    1 الی 3 ساعت     , ,     3Cell 40WHr           ," 15.6""          ",  ,  ,   ,            ,   ,23.399.025
72,  ,          ,Corei7       ,     ,             , , 1165G7    ,4                     ,  12MB                       ,   8GB                                     ,              ,1TB SSD                ,      PCIe NVMe                         , NVIDIA                  ,  Geforce MX450   ,            2GB                       ,دارد ,     ,    1 تا 3 ساعت     , ,     2Cell 38WHr           ," 15.6""          ",  ,  ,   ,            ,   ,27.100.000
73,  ,          ,       ,11th Generation Intel Core i7-1185G7     ,             ,نسل یازده ,     ,                     ,       12 مگابایت                  ,         16 گیگابایت                               ,       1 ترابایت SSD       ,                 ,                               ,                   ,  Intel Iris Xe Graphics   ,                                   , ,     ,         , ,                , 13.4 اینچ FHD          ,  ,  ,   ,"- کیبورد QWERTY, - ردیف کامل از دکمه های (F1–F12) Function            ",   ,42.700.000
74,  ,          ,1035G1       ,     ,             , , Core i5    ,4 هسته حقیقی + 8 هسته مجازی                     ,6 مگابایت                         ,    4GB   بدون حافظه‌ی گرافیکی مجزا                                 ,              ,                 ,     64GB                          ,                   ,  Intel HD Graphics   ,                                   ,خیر , دارد    ,  تا 13 ساعت       , ,                , 12.4 اینچ          ,  ,  ,   ,            ,   ,19.388.000
75,  ,          ,Apple M1       ,     ,             , , M1 Pro    ,   10 هسته                  ,     24 مگابایت                    ,   16 گیگابایت                                     ,              ,    ندارد             ,   1 ترابایت                            ,    Apple               ,     ,                                   , ,     دارد,  تا 11 ساعت       , ,  با ظرفیت 100 وات ساعت              , 16.2 اینچ          ,  ,  ,   ,            ,   ,108.050.000
76, 5800H ,          ,Ryzen 7 AMD Cezanne (Zen 3)      ,     , AMD            ,نسل 5 ,x86     ,8                     ,16MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3050 Ti    ,              4GB                     , ,White Backlit     ,         , ,6Cell 96WHr                ,           ,  ,  ,   ,            ,   ,52.850.000
77, MacBook Pro MNEP3 2022 ,          ,M2       ,     ,             , , M2 8-Core CPU  64 بیتی  , 8 هسته ای                    ,    22 مگابایت                     ,        8 گیگابایت از نوع یکپارچه (Unified)                                ,              ,       256 گیگابایت SSD          ,                               ,                   ,     ,                                   , , دارد (Backlit Magic Keyboard)    ,         , ,    باتری لیتیوم پلیمری با ظرفیت 58.2 وات ساعت  پشتیبانی از شارژ سریع 67 واتی          ,   13.3 اینچ        ,Apple M2 10-Core GPU  ,  ,   ,            ,   ,61.499.000
78,  ,ام اس آی          ,12650H Raptor Lake      ,     ,             ,نسل 12 ,x86 Core i7    ,10 هسته حقیقی + 16 رشته مجازی                     ,24 MB                         ,    16GB   8GB                                 ,     ندارد         ,                 ,     1TB                          ,                   ,GeForce  Geforce RTX4070 8GB GDDR6   ,                                   , ,4Zone RGB Gaming Keyboard دارد    ,  1 الی 3 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,85.599.000
79, 6900HX ,          ,Ryzen 9 Rembrandt H (Zen 3+)      ,     , AMD            ,نسل 6 ,x86     ,8                     ,16MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3060    ,              6GB                     , ,Backlit Chiclet Keyboard Per-Key RGB     ,         , ,4Cell 90WHr                ,           ,  ,  ,   ,            ,   ,71.999.000
80,  ,          ,Apple M1       ,     ,             , , M1    ,   8 هسته                  ,     12 مگابایت                    ,   8 گیگابایت                                     ,              ,    ندارد             ,   256 گیگابایت                            ,    Apple               ,     ,                                   , ,     دارد,  تا 15 ساعت       , ,  با ظرفیت 49.9 وات ساعت              , 13.3 اینچ          ,  ,  ,   ,            ,   ,46.500.000
81,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Core i3-1115G4    2 هسته,                     , 6MB Smart Cache                        ,  4GB                                      ,❌              ,                 , 256GB ✔️                             ,                   ,     ,❌                                   , ,     ,         , , 38WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,15.200.000
82, Victus 15-FA0005GT-ZD ,          ,Core i5       ,     ,Intel             , ,  12450H 64 بیتی  , 8 هسته حقیقی + 12 هسته مجازی                    ,    12 مگابایت                     ,                                        ,              ,1 ترابایت SSD                ,                               ,                   ,     ,  4 گیگابایت       4 گیگابایت                          , ,   دارد (White Backlit)  ,         , , 52.5 وات ساعت               , 15.6 اینچ          ,NVIDIA GeForce GTX 1650  ,  ,   ,            ,   ,39.000.000
83,  ,          ,Ryzen 5       ,     ,             , , 5600H    ,6                     ,  19MB                       ,   8GB                                     ,              ,512GB SSD                ,      PCIe® 3.0 NVMe™ M.2                         , NVIDIA                  ,  GeForce GTX 1650   ,            4GB                       ,دارد ,     ,    1 الی 3 ساعت     , ,     3Cell 50WHr           ," 15.6""          ",  ,  ,   ,            ,   ,33.899.000
